"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"YFZG","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"YG4Q","","","","","Yes","","","Mira El Hussein, Kshemani Constantinescu, Chimwemwe Alao, Ryan Hume","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"YGQP","","Yes","","","","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YGZ6","","","Abstain","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"YGZH","Yes","Yes","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Andre Fast","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"YH34","","","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"YH4V","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","Veronika Potylitsina, Marienka Bishop-Kovac","","","","","","Sophia Wang, Faizan Akbani","","No","Abstain"
"YH99","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","Abstain","","","","Abstain","","No","Abstain"
"YHD5","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","No"
"YHJB","","","","Abstain","","","Sebastian Salomon, Christina Badiola, Ahmad Ilyas, Ifrah Farah","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"YHQC","","","","Yes","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Yes"
"YHV5","","","Abstain","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"YHXH","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","",""
"YJHK","","","","Abstain","","","","Abstain","","Abstain","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","Abstain","Yes"
"YJHM","","","","","","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Carina Zhang","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"YJM9","","","Yes","","","","","Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu, Ryan Hume","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","No"
"YJSK","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Mathias Memmel, Carina Zhang","Abstain","Shawn Williams, Andy Edem","","","","","","","Sophia Wang, Faizan Akbani","","Abstain","Yes"
"YJY2","","","","Abstain","","Abstain","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"YK6C","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Shawn Williams, Andy Edem","","","","","","","Faizan Akbani, Sophia Wang","","No","Yes"
"YK7Z","","","","","","Abstain","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"YK8D","","Yes","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"YKB4","","Yes","","","","","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"YKNF","Abstain","","","","","Abstain","","","","Abstain","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"YKPC","","","","","","","","","","Madina Siddiqui","Abstain","Abstain","Abstain","Carina Zhang","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"YKW5","","Yes","","Abstain","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Yes","Abstain"
"YKWF","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Abstain","","Abstain","Abstain"
"YKYH","Yes","Yes","","","","Yes","Christina Badiola, Ahmad Ilyas, Ifrah Farah, Sebastian Salomon","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Abstain"
"YM4P","Yes","Yes","","","","","","Kshemani Constantinescu, Mira El Hussein, Ryan Hume, Chimwemwe Alao","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","Abstain"
"YM98","","","","Yes","","","","","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"YMG4","Abstain","","","","","","","","Abstain","Abstain","Shahin Imtiaz","Abstain","Lucinda Jing Qu","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"YMKZ","","","","","Abstain","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"YN3Q","","Abstain","","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"YNGX","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"YNKN","","Yes","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YNPD","","","","No","","","","Ryan Hume, Kshemani Constantinescu, Mira El Hussein, Chimwemwe Alao","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"YNPP","","","Yes","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YP34","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"YP6F","","","","","","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"YP7Z","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","Abstain"
"YP96","","","","","Abstain","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Yes"
"YPRP","","","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez","Abstain","Andre Fast","Mathias Memmel","Ryan Gomes","Shawn Williams","Veronika Potylitsina","","","","","","Faizan Akbani","","Abstain","Abstain"
"YPWF","","Yes","","","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"YQ7S","","Yes","","","","Yes","","","","Jasmine Wong Denike","Alessia Rodriguez","Abstain","Abstain","Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"YQK5","","","","Yes","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","No","Yes"
"YQKH","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","Abstain","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"YQZY","","","","Yes","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Lucinda Jing Qu","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","No"
"YR26","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Malkeet Sandhu","Abstain","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","",""
"YR6M","","No","","No","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"YRMP","","","","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
