"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"96X7","","","Yes","","","","","Kshemani Constantinescu, Ryan Hume, Mira El Hussein, Chimwemwe Alao","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Abstain","Carina Zhang","","Shawn Williams","","","","","","","","","Yes","No"
"973P","Abstain","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Yes"
"977K","","","","","","Yes","","Mira El Hussein, Kshemani Constantinescu, Ryan Hume, Chimwemwe Alao","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"979Y","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"97FC","","","","","","Yes","Ahmad Ilyas, Sebastian Salomon, Ifrah Farah, Christina Badiola","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"97FS","","","","","","Yes","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"97J4","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","",""
"97N8","","","","No","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","No"
"982V","","","","","","","","Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu, Ryan Hume","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"9873","","Abstain","","","","Abstain","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"989Z","","","","","","","","","","Abstain","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"98GD","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Faizan Akbani, Sophia Wang","","No","No"
"98ZN","","","No","","","Abstain","","","","Abstain","Alessia Rodriguez, Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"9923","","Yes","","Yes","","","","","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"9933","Yes","","","","","Abstain","","Ryan Hume","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","No","No"
"997G","","No","","","","No","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem","","","","","","","","","No","No"
"999T","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Sophia Wang, Faizan Akbani","","No","Abstain"
"99VH","","","","","","Yes","Abstain","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"9B6X","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","Abstain","Abstain"
"9B8F","","","","","","","","","","Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Abstain","Abstain","Shawn Williams","","","Abstain","","","","Abstain","","No","Abstain"
"9BC7","","Abstain","","","Abstain","Abstain","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Abstain"
"9BZB","","Yes","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"9C25","","","","Yes","","Abstain","","","","Abstain","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang","","Abstain","","","","","","","","","Yes","No"
"9C3W","","Yes","","","","","","Ryan Hume, Chimwemwe Alao, Kshemani Constantinescu, Mira El Hussein","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"9C49","","","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"9CFW","Abstain","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"9CNR","Abstain","","","","","","","","","Madina Siddiqui","Lera Nwineh","Farah Noori","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","No"
"9CVF","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"9CWD","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","","","","","Sophia Wang","Yes","No","No"
"9D3C","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"9D4G","","","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"9DDG","","","Yes","Abstain","","","","","","Jasmine Wong Denike","Abstain","Malkeet Sandhu","Abstain","Carina Zhang","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"9DHV","Yes","","","","","","","Ryan Hume","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Abstain","","Shawn Williams","","","","","","","","","Yes","Yes"
"9DN3","Yes","","","","","Yes","","Ryan Hume, Mira El Hussein, Kshemani Constantinescu, Chimwemwe Alao","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"9DQ5","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"9DX2","","","","","No","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","No"
"9F75","","No","No","No","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"9FF5","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","Yes","No"
"9FM2","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Marienka Bishop-Kovac","","","","","","Abstain","","No","Abstain"
"9FNX","","Abstain","","","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Abstain"
"9FP3","","","Yes","Yes","","","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"9FRP","Yes","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"9G58","","Abstain","","","","","Abstain","","","Abstain","Lera Nwineh","Farah Noori","Abstain","Abstain","","Andy Edem","","","","","","","","","Yes","Yes"
"9G66","","Yes","","","","","Christina Badiola","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Abstain"
"9G9B","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"9GH3","","","Yes","","","","","Chimwemwe Alao","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Abstain","","Andy Edem","","","","","","","","","No","No"
"9GKC","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Mathias Memmel, Carina Zhang","Abstain","Abstain","","","","","","","Abstain","","No","No"
"9GKH","","","","","Yes","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9H2V","","","","","","Yes","Sebastian Salomon, Ifrah Farah, Ahmad Ilyas, Christina Badiola","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"9H58","","","","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9H5P","","Abstain","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9H7V","","","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Abstain","Abstain","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Abstain"
"9H95","","Abstain","","","","","","Abstain","","Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"9HMT","","Yes","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Abstain"
"9HWD","Yes","","","","","Yes","","Abstain","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"9JGF","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Danja Papajani, Addy Bhatia, Andrew Sweeny","","","","Sophia Wang, Faizan Akbani","","No","Abstain"
"9JKP","Abstain","","","","","","Abstain","","","Abstain","Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"9JW3","","","Abstain","Abstain","","","","","","Abstain","Alessia Rodriguez","Abstain","Lucinda Jing Qu","Abstain","","Andy Edem","","","","","","","","","Abstain","Yes"
"9K48","Yes","Abstain","","","","","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"9KR7","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"9KTJ","","","","","Yes","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"9KVD","","Yes","","","","","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"9KZX","Abstain","Abstain","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"9M37","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","Yes","No"
"9M8T","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","Marienka Bishop-Kovac","","","","","","Sophia Wang, Faizan Akbani","","Yes","Yes"
"9MC4","Yes","","","No","","","","Ryan Hume, Kshemani Constantinescu, Chimwemwe Alao, Mira El Hussein","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","Yes"
"9MTH","","","","Abstain","Abstain","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9MV5","","","","","","","","Ryan Hume","","Abstain","Shahin Imtiaz","Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"9N3P","","","","","Yes","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","No"
"9N9R","","Abstain","","Abstain","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9NC5","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Abstain","Abstain","Marienka Bishop-Kovac, Veronika Potylitsina","","","","","","Abstain","","No","No"
"9NFJ","","Yes","","Yes","","","Sebastian Salomon, Christina Badiola","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"9NVD","","","Yes","","","Abstain","","","","Madina Siddiqui","Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Carina Zhang","","Shawn Williams","","","","","","","","","Abstain","Yes"
"9NWK","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Abstain","","No","Abstain"
"9NY5","","Abstain","","","","","","","","Madina Siddiqui","Lera Nwineh, Alessia Rodriguez","Abstain","Andre Fast","Abstain","","Abstain","","","","","","","","","No","No"
"9P3B","","","","","","","","","","Abstain","Abstain","Malkeet Sandhu","Abstain","Abstain","","Abstain","","","","","","","","","",""
"9PB9","","","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"9PH2","Abstain","","","","","","","","","Abstain","Abstain","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"9PKX","","","","","","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","","Abstain","","Abstain","Abstain"
"9PN9","","Yes","","","","Abstain","Abstain","","","Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"9PPH","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","",""
"9PVD","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani","","No","No"
"9QCZ","","","No","","","","Abstain","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","Abstain"
"9QQV","","","","","","Abstain","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","No","No"
"9R9K","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","","","","","Abstain","","No","No"
"9RH6","","No","","","","No","","","","Madina Siddiqui","Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","No"
